,HARGA,LT,LB,JKT,JKM,GRS,KOTA
313,8500000000,434,380,5,2,0,Jakarta Selatan
314,45000000000,836,600,4,4,1,Jakarta Selatan
315,10000000000,230,350,3,2,1,Jakarta Selatan
316,20000000000,425,500,5,4,1,Jakarta Selatan
317,5800000000,144,285,4,3,1,Jakarta Selatan
318,20900000000,754,500,4,4,1,Jakarta Selatan
319,24000000000,832,650,4,1,0,Jakarta Selatan
320,23000000000,800,400,4,4,1,Jakarta Selatan
321,9000000000,256,245,4,4,0,Jakarta Selatan
322,1350000000,72,150,3,3,0,Jakarta Selatan
323,23000000000,800,500,5,4,0,Jakarta Selatan
324,14000000000,464,350,4,3,1,Jakarta Selatan
325,15000000000,733,140,2,2,0,Jakarta Selatan
326,6500000000,500,400,17,18,1,Jakarta Selatan
327,6800000000,376,352,5,5,0,Jakarta Selatan
328,10500000000,320,360,6,4,1,Jakarta Selatan
329,20000000000,442,600,3,4,1,Jakarta Selatan
330,16000000000,895,420,5,4,1,Jakarta Selatan
331,15000000000,400,500,4,4,0,Jakarta Selatan
332,9000000000,240,380,3,3,1,Jakarta Selatan
333,33000000000,1750,700,6,6,1,Jakarta Selatan
334,6200000000,450,550,4,4,1,Jakarta Selatan
335,40000000000,600,500,8,5,1,Jakarta Selatan
336,14500000000,240,450,4,4,1,Jakarta Selatan
337,25000000000,900,600,4,3,0,Jakarta Selatan
338,6200000000,376,352,4,2,1,Jakarta Selatan
339,38000000000,2880,1000,7,6,1,Jakarta Selatan
340,9000000000,350,650,4,3,1,Jakarta Selatan
341,7000000000,251,325,3,3,0,Jakarta Selatan
342,9900000000,452,200,3,2,1,Jakarta Selatan
343,15000000000,291,400,4,4,1,Jakarta Selatan
344,16000000000,445,1200,6,6,1,Jakarta Selatan
345,9000000000,300,300,4,3,1,Jakarta Selatan
346,25000000000,700,500,4,4,1,Jakarta Selatan
347,10000000000,468,410,4,3,1,Jakarta Selatan
348,9500000000,350,430,4,4,0,Jakarta Selatan
349,30000000000,778,320,3,2,0,Jakarta Selatan
350,15000000000,923,900,5,4,0,Jakarta Selatan
351,20000000000,1050,650,4,4,1,Jakarta Selatan
352,15000000000,530,633,4,3,0,Jakarta Selatan
353,5900000000,188,314,4,4,0,Jakarta Selatan
354,185000000000,6790,10000,5,5,1,Jakarta Selatan
355,17800000000,430,500,4,4,1,Jakarta Selatan
356,11500000000,375,400,5,4,1,Jakarta Selatan
357,12000000000,340,600,11,11,1,Jakarta Selatan
358,50000000000,325,500,3,3,1,Jakarta Selatan
359,7900000000,266,475,4,4,1,Jakarta Selatan
360,7000000000,250,280,3,3,1,Jakarta Selatan
361,7000000000,230,400,4,4,1,Jakarta Selatan
362,20000000000,600,890,6,6,1,Jakarta Selatan
363,11000000000,575,210,4,3,1,Jakarta Selatan
364,22000000000,1860,400,4,4,1,Jakarta Selatan
365,20000000000,610,1000,6,6,0,Jakarta Selatan
366,16000000000,835,600,5,5,0,Jakarta Selatan
367,8750000000,158,400,3,3,1,Jakarta Selatan
368,39000000000,1900,1000,6,5,0,Jakarta Selatan
369,10500000000,424,313,7,4,1,Jakarta Selatan
370,14000000000,651,350,5,3,1,Jakarta Selatan
371,11000000000,400,225,4,3,1,Jakarta Selatan
372,24000000000,354,350,3,3,1,Jakarta Selatan
373,14500000000,600,500,5,4,1,Jakarta Selatan
374,8500000000,200,400,4,4,1,Jakarta Selatan
375,9900000000,611,500,7,4,1,Jakarta Selatan
376,21000000000,557,882,5,4,1,Jakarta Selatan
377,6000000000,144,250,4,3,1,Jakarta Selatan
378,14000000000,661,800,4,4,0,Jakarta Selatan
379,12900000000,539,610,4,4,1,Jakarta Selatan
380,17640000000,503,541,4,3,1,Jakarta Selatan
381,12000000000,600,500,4,4,1,Jakarta Selatan
382,10000000000,237,250,4,3,1,Jakarta Selatan
383,3790000000,248,248,4,2,0,Jakarta Selatan
384,9000000000,600,400,4,3,0,Jakarta Selatan
385,250000000000,6000,1500,5,5,1,Jakarta Selatan
386,9500000000,274,258,3,3,1,Jakarta Selatan
387,17500000000,518,450,5,7,1,Jakarta Selatan
388,8250000000,159,278,3,3,1,Jakarta Selatan
389,4300000000,123,190,3,3,0,Jakarta Selatan
390,4300000000,152,230,4,2,0,Jakarta Selatan
391,5620000000,122,311,3,3,1,Jakarta Selatan
392,3250000000,240,200,3,3,1,Jakarta Selatan
393,6500000000,144,285,4,3,1,Jakarta Selatan
394,25000000000,1020,800,5,3,1,Jakarta Selatan
395,23000000000,752,400,4,3,1,Jakarta Selatan
396,17700000000,860,750,5,4,1,Jakarta Selatan
397,7700000000,190,300,3,2,1,Jakarta Selatan
398,16000000000,465,640,4,4,1,Jakarta Selatan
399,6000000000,200,272,4,4,1,Jakarta Selatan
400,15000000000,500,765,4,4,1,Jakarta Selatan
