HARGA,LT,LB,JKT,JKM,GRS,KOTA
"25,000,000,000",1000,600,9,5,ADA,JAKSEL
"85,500,000,000",1500,1300,5,5,ADA,JAKSEL
"5,400,000,000",165,297,3,3,ADA,JAKSEL
"14,000,000,000",380,350,6,4,ADA,JAKSEL
"5,600,000,000",151,254,4,3,ADA,JAKSEL
"38,000,000,000",1390,750,6,4,TIDAK ADA,JAKSEL
"30,000,000,000",557,400,4,3,TIDAK ADA,JAKSEL
"17,500,000,000",518,450,5,7,ADA,JAKSEL
"39,500,000,000",1960,900,5,4,ADA,JAKSEL
"15,000,000,000",395,460,4,4,ADA,JAKSEL
"13,000,000,000",235,623,5,5,TIDAK ADA,JAKSEL
"8,500,000,000",434,380,5,2,TIDAK ADA,JAKSEL
"45,000,000,000",836,600,4,4,ADA,JAKSEL
"10,000,000,000",230,350,3,2,ADA,JAKSEL
"20,000,000,000",425,500,5,4,ADA,JAKSEL
"5,800,000,000",144,285,4,3,ADA,JAKSEL
"20,900,000,000",754,500,4,4,ADA,JAKSEL
"24,000,000,000",832,650,4,1,TIDAK ADA,JAKSEL
"23,000,000,000",800,400,4,4,ADA,JAKSEL
"9,000,000,000",256,245,4,4,TIDAK ADA,JAKSEL
"1,350,000,000",72,150,3,3,TIDAK ADA,JAKSEL
"23,000,000,000",800,500,5,4,TIDAK ADA,JAKSEL
"14,000,000,000",464,350,4,3,ADA,JAKSEL
"15,000,000,000",733,140,2,2,TIDAK ADA,JAKSEL
"6,500,000,000",500,400,17,18,ADA,JAKSEL
"6,800,000,000",376,352,5,5,TIDAK ADA,JAKSEL
"10,500,000,000",320,360,6,4,ADA,JAKSEL
"20,000,000,000",442,600,3,4,ADA,JAKSEL
"16,000,000,000",895,420,5,4,ADA,JAKSEL
"15,000,000,000",400,500,4,4,TIDAK ADA,JAKSEL
"9,000,000,000",240,380,3,3,ADA,JAKSEL
"33,000,000,000",1750,700,6,6,ADA,JAKSEL
"6,200,000,000",450,550,4,4,ADA,JAKSEL
"40,000,000,000",600,500,8,5,ADA,JAKSEL
"14,500,000,000",240,450,4,4,ADA,JAKSEL
"25,000,000,000",900,600,4,3,TIDAK ADA,JAKSEL
"6,200,000,000",376,352,4,2,ADA,JAKSEL
"38,000,000,000",2880,1000,7,6,ADA,JAKSEL
"9,000,000,000",350,650,4,3,ADA,JAKSEL
"7,000,000,000",251,325,3,3,TIDAK ADA,JAKSEL
"9,900,000,000",452,200,3,2,ADA,JAKSEL
"15,000,000,000",291,400,4,4,ADA,JAKSEL
"16,000,000,000",445,1200,6,6,ADA,JAKSEL
"9,000,000,000",300,300,4,3,ADA,JAKSEL
"25,000,000,000",700,500,4,4,ADA,JAKSEL
"10,000,000,000",468,410,4,3,ADA,JAKSEL
"9,500,000,000",350,430,4,4,TIDAK ADA,JAKSEL
"30,000,000,000",778,320,3,2,TIDAK ADA,JAKSEL
"15,000,000,000",923,900,5,4,TIDAK ADA,JAKSEL
"20,000,000,000",1050,650,4,4,ADA,JAKSEL
"15,000,000,000",530,633,4,3,TIDAK ADA,JAKSEL
"5,900,000,000",188,314,4,4,TIDAK ADA,JAKSEL
"185,000,000,000",6790,10000,5,5,ADA,JAKSEL
"17,800,000,000",430,500,4,4,ADA,JAKSEL
"11,500,000,000",375,400,5,4,ADA,JAKSEL
"12,000,000,000",340,600,11,11,ADA,JAKSEL
"50,000,000,000",325,500,3,3,ADA,JAKSEL
"7,900,000,000",266,475,4,4,ADA,JAKSEL
"7,000,000,000",250,280,3,3,ADA,JAKSEL
"7,000,000,000",230,400,4,4,ADA,JAKSEL
"20,000,000,000",600,890,6,6,ADA,JAKSEL
"11,000,000,000",575,210,4,3,ADA,JAKSEL
"22,000,000,000",1860,400,4,4,ADA,JAKSEL
"20,000,000,000",610,1000,6,6,TIDAK ADA,JAKSEL
"16,000,000,000",835,600,5,5,TIDAK ADA,JAKSEL
"8,750,000,000",158,400,3,3,ADA,JAKSEL
"39,000,000,000",1900,1000,6,5,TIDAK ADA,JAKSEL
"10,500,000,000",424,313,7,4,ADA,JAKSEL
"14,000,000,000",651,350,5,3,ADA,JAKSEL
"11,000,000,000",400,225,4,3,ADA,JAKSEL
"24,000,000,000",354,350,3,3,ADA,JAKSEL
"14,500,000,000",600,500,5,4,ADA,JAKSEL
"8,500,000,000",200,400,4,4,ADA,JAKSEL
"9,900,000,000",611,500,7,4,ADA,JAKSEL
"21,000,000,000",557,882,5,4,ADA,JAKSEL
"6,000,000,000",144,250,4,3,ADA,JAKSEL
"14,000,000,000",661,800,4,4,TIDAK ADA,JAKSEL
"12,900,000,000",539,610,4,4,ADA,JAKSEL
"17,640,000,000",503,541,4,3,ADA,JAKSEL
"12,000,000,000",600,500,4,4,ADA,JAKSEL
"10,000,000,000",237,250,4,3,ADA,JAKSEL
"3,790,000,000",248,248,4,2,TIDAK ADA,JAKSEL
"9,000,000,000",600,400,4,3,TIDAK ADA,JAKSEL
"250,000,000,000",6000,1500,5,5,ADA,JAKSEL
"9,500,000,000",274,258,3,3,ADA,JAKSEL
"17,500,000,000",518,450,5,7,ADA,JAKSEL
"8,250,000,000",159,278,3,3,ADA,JAKSEL
"4,300,000,000",123,190,3,3,TIDAK ADA,JAKSEL
"4,300,000,000",152,230,4,2,TIDAK ADA,JAKSEL
"5,620,000,000",122,311,3,3,ADA,JAKSEL
"3,250,000,000",240,200,3,3,ADA,JAKSEL
"6,500,000,000",144,285,4,3,ADA,JAKSEL
"25,000,000,000",1020,800,5,3,ADA,JAKSEL
"23,000,000,000",752,400,4,3,ADA,JAKSEL
"17,700,000,000",860,750,5,4,ADA,JAKSEL
"7,700,000,000",190,300,3,2,ADA,JAKSEL
"16,000,000,000",465,640,4,4,ADA,JAKSEL
"6,000,000,000",200,272,4,4,ADA,JAKSEL
